N iter1 iter2 matriz
1 3.3e-05 4.6e-05 2.4e-05
2 1.2e-05 3e-06 1.1e-05
3 8e-06 4e-06 3.5e-05
4 1e-05 4e-06 2.8e-05
5 1e-05 5e-06 3.6e-05
6 1e-05 5e-06 4.4e-05
7 1.1e-05 6e-06 5.2e-05
8 1.6e-05 7e-06 6.2e-05
9 1.5e-05 8e-06 7.1e-05
10 1.7e-05 8e-06 7.9e-05
11 1.6e-05 9e-06 8.7e-05
12 1.8e-05 9e-06 9.6e-05
13 1.9e-05 1e-05 0.000104
14 1.9e-05 1.1e-05 0.000113
15 2e-05 1.1e-05 0.000121
16 2.2e-05 1.2e-05 0.00013
17 2.3e-05 1.2e-05 0.000137
18 2.3e-05 1.3e-05 0.000146
19 2.4e-05 1.4e-05 0.000155
20 2.5e-05 1.4e-05 0.000189
21 2.1e-05 6e-06 6.9e-05
22 1e-05 6e-06 7.1e-05
23 1.1e-05 6e-06 7.6e-05
24 1.1e-05 7e-06 8e-05
25 1.2e-05 7e-06 8.2e-05
26 1.2e-05 7e-06 8.5e-05
27 1.2e-05 8e-06 8.8e-05
28 1.3e-05 7e-06 9.2e-05
29 1.3e-05 8e-06 9.6e-05
30 1.3e-05 8e-06 9.9e-05
31 1.3e-05 8e-06 0.000102
32 1.4e-05 9e-06 0.000107
33 1.5e-05 9e-06 0.00011
34 1.5e-05 9e-06 0.000112
35 1.5e-05 9e-06 0.000131
36 2.2e-05 1.2e-05 0.000186
37 2.2e-05 1.4e-05 0.000152
38 2.4e-05 1.3e-05 0.000171
39 2.4e-05 1.4e-05 0.000183
40 2.6e-05 1.3e-05 0.00019
41 2.6e-05 1.5e-05 0.000146
42 2.5e-05 1.5e-05 0.000148
43 4.1e-05 1.5e-05 0.0002
44 2.6e-05 1.6e-05 0.000164
45 2.6e-05 1.6e-05 0.000154
46 2.6e-05 1.6e-05 0.000156
47 2.7e-05 1.7e-05 0.000159
48 2.7e-05 1.7e-05 0.000164
49 2.8e-05 1.8e-05 0.000168
50 2.8e-05 1.8e-05 0.000172
51 2.8e-05 1.9e-05 0.000174
52 2.9e-05 1.8e-05 0.000177
53 3.3e-05 1.9e-05 0.000192
54 3.7e-05 1.9e-05 0.000201
