tiempo bubble insert
0 6e-06 3e-06
1 1.3e-05 2e-06
2 4e-06 3e-06
3 4e-06 3e-06
4 6e-06 4e-06
5 1.4e-05 8e-06
6 2.4e-05 1.1e-05
7 4e-05 1.3e-05
8 6.2e-05 2.9e-05
9 0.000104 4.1e-05
10 0.000131 3.5e-05
11 0.000144 3.6e-05
12 0.000203 5.8e-05
13 0.000253 6.9e-05
14 0.000169 7.8e-05
15 0.000353 8.4e-05
16 0.000428 0.00017
17 0.000632 0.000234
18 0.000772 0.000299
19 0.000802 0.000125
20 0.000465 0.000161
21 0.000506 0.000145
22 0.000476 0.00016
23 0.000801 0.000234
24 0.001045 0.000238
25 0.001024 0.000304
26 0.001113 0.000308
27 0.001416 0.000407
28 0.001751 0.000538
29 0.001981 0.00058
30 0.002149 0.000854
31 0.002459 0.000672
32 0.003063 0.000853
33 0.003398 0.001054
34 0.00379 0.001168
35 0.004074 0.001233
36 0.004502 0.00138
37 0.004787 0.001386
38 0.005414 0.001383
39 0.005912 0.00166
40 0.006316 0.001849
41 0.007732 0.002256
42 0.008218 0.002321
43 0.009097 0.00266
44 0.009975 0.002976
45 0.010718 0.003169
46 0.011553 0.003581
47 0.012551 0.003982
48 0.013301 0.004194
49 0.014524 0.004642
50 0.015176 0.004843
51 0.01628 0.005318
52 0.017345 0.005726
53 0.017914 0.005723
54 0.022395 0.006605
55 0.024168 0.007154
56 0.025955 0.007704
57 0.026982 0.008032
58 0.028066 0.008114
59 0.031041 0.009132
60 0.03434 0.010365
61 0.036313 0.01089
62 0.038025 0.010998
63 0.039355 0.011328
64 0.040968 0.011596
65 0.043093 0.012172
66 0.044536 0.012303
67 0.052438 0.013994
68 0.054172 0.014875
69 0.05724 0.015816
70 0.060441 0.016746
71 0.066467 0.021207
72 0.068028 0.0191
73 0.074386 0.021031
74 0.075025 0.02103
75 0.07603 0.021234
76 0.084278 0.022982
77 0.08877 0.02321
78 0.097657 0.025271
79 0.107789 0.028595
80 0.11528 0.031674
81 0.119526 0.030567
82 0.124631 0.03498
83 0.134441 0.037146
84 0.138916 0.037679
