tiempo merge intercala
0 9e-06 2e-06
1 3e-05 3e-06
2 3.7e-05 8e-06
3 8e-05 1.1e-05
4 0.000141 1.5e-05
5 0.000203 2.1e-05
6 0.000289 3.1e-05
7 0.000381 4.1e-05
8 0.000501 5.6e-05
9 0.000658 7.3e-05
10 0.000765 8.8e-05
11 0.000916 0.000102
12 0.001519 0.00015
13 0.001558 0.000188
14 0.001592 0.000225
15 0.000604 6.8e-05
16 0.000722 7.9e-05
17 0.000799 8.9e-05
18 0.000871 9.9e-05
19 0.000979 0.000112
20 0.001063 0.000124
21 0.001163 0.000136
22 0.001276 0.000152
23 0.001448 0.00017
24 0.001833 0.000186
25 0.00182 0.000202
26 0.002203 0.000311
27 0.002103 0.000239
28 0.002267 0.000256
29 0.002344 0.000278
30 0.002482 0.000297
31 0.002671 0.000319
32 0.002891 0.000346
33 0.003128 0.000371
34 0.003348 0.000395
35 0.003594 0.000422
36 0.003804 0.00045
37 0.004004 0.000479
38 0.004229 0.000509
39 0.004449 0.000537
40 0.004668 0.000568
41 0.00489 0.000601
42 0.005121 0.000643
43 0.005349 0.000677
44 0.005611 0.000975
45 0.008162 0.000884
46 0.006352 0.000814
47 0.007121 0.000886
48 0.006989 0.0009
49 0.007355 0.000947
50 0.007654 0.000992
51 0.007988 0.001045
52 0.008299 0.001098
53 0.008633 0.001145
54 0.008978 0.001206
55 0.009301 0.001253
56 0.009667 0.001311
57 0.009986 0.001375
58 0.010315 0.001438
59 0.010689 0.001496
60 0.011 0.00156
61 0.011339 0.001655
62 0.011696 0.001692
63 0.012055 0.001685
64 0.012705 0.001862
65 0.013224 0.001935
66 0.013752 0.002014
67 0.014258 0.002121
68 0.014784 0.00218
69 0.015252 0.002256
70 0.015813 0.002348
71 0.016256 0.002424
72 0.016771 0.00255
73 0.017246 0.002625
74 0.017757 0.002724
75 0.018275 0.002825
76 0.018733 0.002953
77 0.01928 0.003034
78 0.019783 0.003197
79 0.020583 0.003395
80 0.020801 0.003619
81 0.021281 0.003833
82 0.021828 0.004105
83 0.0223 0.004278
84 0.022878 0.004541
85 0.023418 0.004334
86 0.023928 0.004645
87 0.02444 0.004953
88 0.025028 0.005181
89 0.025598 0.005505
90 0.026108 0.005697
91 0.027191 0.005856
92 0.02803 0.006276
93 0.028836 0.006723
94 0.02966 0.007212
95 0.030414 0.00784
96 0.031193 0.008013
97 0.031971 0.008358
98 0.033149 0.008733
99 0.033459 0.009014
100 0.034281 0.009359
101 0.034983 0.009636
102 0.035716 0.009901
103 0.036494 0.010204
104 0.037209 0.010586
105 0.037987 0.011019
106 0.038762 0.011301
107 0.03955 0.011706
108 0.040351 0.012029
109 0.041117 0.012507
110 0.041898 0.012811
111 0.043238 0.013072
112 0.043479 0.013558
113 0.044262 0.014081
114 0.045001 0.014588
115 0.045807 0.01486
116 0.046618 0.015276
117 0.047414 0.015431
118 0.048269 0.016165
119 0.049062 0.016778
120 0.049883 0.017759
121 0.050821 0.01757
122 0.051605 0.018187
123 0.05244 0.01865
124 0.053388 0.019216
125 0.054204 0.019462
126 0.055051 0.019503
127 0.055914 0.020107
128 0.057344 0.021176
129 0.05938 0.022029
130 0.060158 0.022475
131 0.061387 0.022946
132 0.062716 0.023536
133 0.063889 0.02457
134 0.065058 0.025051
135 0.066244 0.026023
136 0.067922 0.026156
137 0.068671 0.026769
138 0.069953 0.027549
139 0.071107 0.028272
140 0.072268 0.029162
141 0.075235 0.029735
142 0.075183 0.031001
143 0.07588 0.03152
144 0.077093 0.032478
145 0.07821 0.033322
146 0.079408 0.034149
147 0.08111 0.035414
148 0.081886 0.035737
149 0.083076 0.036576
150 0.084257 0.037209
151 0.085517 0.037942
152 0.08731 0.039363
153 0.088107 0.040407
154 0.08941 0.040918
155 0.090538 0.041679
156 0.091728 0.042977
157 0.093573 0.043933
158 0.094356 0.044779
159 0.095601 0.046721
160 0.096832 0.047424
161 0.098636 0.047716
162 0.099474 0.049538
163 0.100712 0.050244
164 0.101986 0.051184
165 0.10387 0.053008
166 0.104808 0.053921
167 0.105984 0.055246
168 0.107404 0.055958
169 0.109203 0.058966
170 0.110156 0.059229
171 0.111337 0.059791
172 0.113426 0.061692
173 0.11418 0.063145
174 0.115607 0.065422
175 0.116984 0.066238
176 0.120267 0.066328
177 0.119912 0.067492
178 0.121254 0.067508
179 0.123345 0.068807
180 0.124352 0.070111
181 0.126761 0.074335
182 0.129772 0.075325
183 0.131439 0.07695
184 0.133599 0.079713
185 0.136488 0.080124
186 0.138259 0.081987
187 0.139951 0.083197
188 0.141859 0.086031
189 0.143989 0.087728
190 0.146168 0.087884
191 0.148066 0.089713
192 0.150173 0.092259
193 0.152845 0.094575
194 0.154343 0.095746
195 0.156458 0.097027
196 0.158535 0.099553
197 0.160617 0.101523
198 0.162547 0.104946
199 0.164699 0.105572
200 0.166964 0.107324
201 0.169037 0.109171
202 0.171021 0.111144
203 0.173089 0.113513
204 0.175232 0.115587
205 0.177408 0.11799
206 0.17946 0.119679
207 0.181722 0.121862
208 0.18397 0.123784
209 0.18596 0.127261
210 0.188159 0.129063
211 0.190376 0.131069
212 0.192711 0.134146
213 0.194865 0.136165
214 0.197042 0.137676
215 0.201169 0.140921
216 0.201689 0.142509
217 0.204029 0.146409
218 0.206413 0.147762
219 0.208671 0.150186
220 0.212355 0.153457
221 0.213165 0.155566
222 0.215552 0.157938
223 0.217784 0.160673
224 0.220276 0.164377
225 0.222637 0.167075
226 0.225072 0.171042
227 0.22733 0.17223
228 0.229782 0.178066
229 0.232115 0.178308
230 0.234411 0.181608
231 0.237017 0.183963
232 0.239354 0.187465
233 0.241988 0.190164
234 0.24452 0.194161
235 0.247001 0.197606
236 0.249517 0.199717
237 0.252111 0.202071
238 0.25456 0.206074
239 0.257144 0.210061
240 0.261574 0.212702
241 0.262485 0.216084
242 0.26504 0.218983
243 0.267701 0.223422
244 0.2704 0.226859
245 0.273116 0.230692
246 0.275691 0.233172
247 0.278511 0.236988
248 0.281155 0.241966
249 0.284265 0.245271
250 0.288512 0.248591
251 0.289834 0.252154
252 0.292578 0.255767
253 0.295544 0.259252
254 0.298307 0.268197
255 0.301169 0.272685
256 0.305642 0.271775
257 0.310204 0.275581
258 0.31434 0.282062
259 0.318255 0.282866
260 0.322518 0.287607
261 0.326317 0.29306
262 0.330272 0.296123
263 0.334088 0.300103
264 0.337847 0.305497
265 0.341903 0.310115
266 0.345409 0.31597
267 0.349316 0.318204
268 0.353099 0.32458
269 0.356922 0.328542
270 0.360719 0.333468
271 0.364888 0.338781
272 0.368633 0.343777
273 0.372581 0.347593
274 0.378068 0.353959
275 0.380352 0.357364
276 0.384463 0.36325
277 0.388426 0.368421
278 0.392258 0.373028
279 0.396601 0.378932
280 0.400503 0.386157
281 0.404637 0.390994
282 0.408584 0.394454
283 0.412648 0.400836
284 0.416821 0.405778
285 0.420703 0.410971
286 0.424753 0.422537
287 0.42899 0.424291
288 0.433229 0.429414
289 0.437225 0.434694
290 0.44173 0.449778
291 0.445879 0.448112
292 0.450224 0.454568
293 0.454778 0.463596
294 0.458524 0.467605
295 0.462636 0.473942
296 0.467293 0.479807
297 0.47153 0.489255
298 0.476186 0.49364
299 0.480435 0.500877
300 0.48475 0.507494
301 0.489471 0.514323
302 0.494512 0.522445
303 0.49823 0.530606
304 0.503015 0.537707
305 0.507491 0.543857
306 0.511974 0.549595
307 0.516745 0.560883
308 0.521532 0.565046
309 0.526697 0.573399
310 0.531026 0.584728
311 0.535434 0.590592
312 0.540017 0.597486
313 0.544779 0.608912
314 0.549774 0.61442
315 0.55432 0.621162
316 0.559514 0.634171
317 0.564041 0.640313
318 0.569276 0.646508
319 0.574014 0.654537
320 0.578702 0.663213
321 0.583595 0.672222
322 0.588748 0.683217
323 0.593547 0.689114
324 0.598766 0.69897
325 0.603205 0.709226
326 0.608311 0.716906
327 0.613692 0.729391
328 0.619184 0.738256
329 0.624487 0.744992
330 0.629815 0.757143
331 0.634549 0.765212
332 0.639623 0.774911
333 0.644457 0.78603
334 0.649766 0.793521
335 0.65541 0.804965
336 0.661109 0.81408
337 0.666527 0.824631
338 0.67172 0.835726
339 0.677091 0.845251
340 0.683065 0.856256
341 0.688752 0.866992
342 0.694429 0.87807
343 0.700104 0.889369
344 0.705921 0.898454
345 0.711224 0.910054
346 0.716992 0.921635
347 0.723496 0.932813
348 0.729227 0.945028
349 0.734409 0.956786
350 0.740831 0.968004
351 0.745947 0.978781
352 0.753128 0.993386
353 0.758557 1.00828
354 0.765077 1.01464
355 0.770659 1.02843
356 0.777332 1.04001
357 0.782185 1.05224
358 0.788897 1.06439
359 0.796049 1.08032
360 0.802205 1.08878
361 0.807866 1.10356
362 0.817613 1.11401
363 0.82597 1.12852
364 0.834221 1.14447
365 0.84193 1.15579
366 0.850863 1.16994
367 0.860151 1.18264
368 0.868788 1.19696
369 0.875712 1.21151
370 0.883777 1.22889
371 0.889357 1.24607
372 0.897455 1.25542
373 0.906913 1.27573
374 0.915684 1.2833
375 0.922548 1.29834
376 0.92955 1.31412
377 0.937542 1.32828
378 0.945047 1.34832
379 0.953763 1.36059
380 0.961481 1.38003
381 0.969499 1.39854
382 0.978138 1.40703
383 0.986072 1.42007
384 0.995075 1.43722
385 1.00349 1.45448
386 1.01122 1.47006
387 1.01932 1.48177
388 1.02714 1.50004
389 1.03657 1.51583
390 1.04428 1.53332
391 1.05331 1.5496
392 1.06109 1.56515
393 1.0694 1.58474
394 1.07848 1.60311
395 1.08596 1.6175
396 1.09442 1.63827
397 1.10251 1.65262
398 1.11143 1.67351
399 1.1209 1.68646
400 1.12893 1.70359
401 1.13797 1.72331
402 1.14745 1.74298
403 1.15617 1.76261
404 1.16729 1.78043
405 1.17328 1.79647
406 1.18266 1.8142
407 1.19197 1.83171
408 1.20082 1.85379
409 1.20942 1.86974
410 1.21987 1.89624
411 1.22774 1.91748
412 1.23856 1.93478
413 1.24806 1.95694
414 1.25658 1.9769
415 1.26547 1.99548
416 1.2753 2.01163
417 1.28359 2.0342
418 1.29374 2.05381
419 1.30414 2.0746
420 1.31313 2.09103
421 1.32238 2.11849
422 1.33282 2.13297
423 1.34426 2.15794
424 1.35248 2.18063
425 1.36342 2.20551
426 1.3734 2.22352
427 1.38156 2.24706
428 1.3937 2.26554
429 1.40269 2.29932
430 1.41304 2.30831
431 1.42318 2.33098
432 1.43498 2.36707
433 1.44388 2.38823
434 1.45475 2.40991
435 1.46385 2.42723
436 1.4762 2.4492
437 1.48696 2.47807
438 1.49693 2.49131
439 1.50695 2.52332
440 1.51567 2.54131
441 1.52557 2.56574
442 1.5391 2.59315
443 1.5502 2.6227
444 1.55935 2.63857
445 1.57296 2.66562
446 1.58238 2.73795
447 1.59191 2.77058
448 1.60235 2.81162
449 1.61533 2.84474
450 1.6256 2.88488
451 1.63581 2.92215
452 1.64905 2.94583
453 1.65992 2.98567
454 1.67028 3.01652
455 1.68228 3.05296
456 1.69278 3.09406
457 1.70402 3.12815
458 1.71645 3.16633
459 1.72893 3.20349
460 1.73968 3.24271
461 1.74962 3.28093
462 1.76255 3.31724
463 1.77466 3.37161
464 1.78523 3.41649
465 1.8007 3.45142
466 1.81158 3.49463
467 1.82399 3.53134
468 1.83572 3.57024
469 1.84812 3.6049
470 1.86068 3.64988
471 1.87302 3.68882
472 1.88359 3.73843
473 1.89648 3.77374
474 1.90946 3.82437
475 2.0126 4.09639
476 1.93738 3.92194
477 2.03854 4.19327
478 1.9864 4.32181
479 2.33856 4.85062
480 2.30688 4.90792
481 2.0362 4.67856
482 2.01515 4.20949
483 2.03148 4.23766
484 2.05022 4.60985
485 2.11726 5.27989
486 2.19549 5.51372
487 2.12788 4.92319
488 2.11277 5.07531
489 2.12679 4.52918
490 2.12 4.56964
491 2.13462 4.61483
492 2.14581 4.67595
493 2.17305 4.73596
494 2.18562 5.53117
495 2.20206 4.81873
496 2.2061 5.20495
497 2.26547 5.34317
498 2.32057 5.02479
499 2.24638 5.03244
500 2.26039 5.08391
501 2.27698 5.56198
502 2.553 5.99292
503 2.34304 5.457
504 2.34641 5.56234
