tiempo merge hibrido(insert)
0 8e-06 2e-06
1 1.9e-05 1e-06
2 2.3e-05 3e-06
3 4.9e-05 2e-06
4 9.3e-05 2e-06
5 0.000209 5e-06
6 0.000226 6e-06
7 0.000305 3e-06
8 0.000414 1.2e-05
9 0.000673 2.1e-05
10 0.000925 9e-06
11 0.000812 6e-06
12 0.001066 2.6e-05
13 0.001191 1.7e-05
14 0.001417 4.3e-05
15 0.000893 2.1e-05
16 0.000876 3.1e-05
17 0.000983 4.3e-05
18 0.001094 4.4e-05
19 0.001229 3.1e-05
20 0.00134 2.9e-05
21 0.001471 3.2e-05
22 0.001592 4.2e-05
23 0.001863 0.000147
24 0.001697 4.5e-05
25 0.001868 0.000109
26 0.001928 5e-05
27 0.002037 0.000146
28 0.002185 0.00018
29 0.002332 9.5e-05
30 0.002475 8.7e-05
31 0.002647 9.2e-05
32 0.002917 0.000322
33 0.003125 0.000332
34 0.003343 0.000253
35 0.003565 0.000212
36 0.003786 0.000295
37 0.004033 0.000158
38 0.00423 0.000167
39 0.004447 0.000448
40 0.004693 0.000368
41 0.004889 0.000604
42 0.006259 0.000382
43 0.007358 0.000558
44 0.005657 0.000736
45 0.007114 0.000523
46 0.006316 0.000815
47 0.006654 0.000873
48 0.006973 0.000666
49 0.007312 0.000958
50 0.007651 0.000713
51 0.007962 0.000996
52 0.008288 0.000888
53 0.008615 0.000616
54 0.008984 0.001432
55 0.009291 0.001113
56 0.009615 0.001229
57 0.009961 0.00092
58 0.010301 0.000807
59 0.010648 0.001692
60 0.010973 0.00188
61 0.011311 0.001309
62 0.011684 0.000899
63 0.012032 0.001066
64 0.012643 0.001806
65 0.013383 0.002087
66 0.013868 0.00168
67 0.014242 0.003329
68 0.014737 0.00248
69 0.015236 0.002699
70 0.015763 0.002701
71 0.016232 0.003691
72 0.016724 0.002076
73 0.017216 0.002852
74 0.01774 0.00268
75 0.018279 0.002471
76 0.018737 0.003459
77 0.01924 0.002593
78 0.019736 0.004994
79 0.02045 0.00523
80 0.020746 0.003973
81 0.021223 0.002564
82 0.021762 0.005602
83 0.022315 0.004758
84 0.022815 0.003605
85 0.023333 0.005466
86 0.023885 0.004894
87 0.024475 0.004981
88 0.025137 0.006456
89 0.025535 0.003841
90 0.026094 0.005769
91 0.027303 0.008823
92 0.028004 0.010443
93 0.028826 0.006153
94 0.029742 0.00857
95 0.030369 0.009489
96 0.03122 0.008321
97 0.031993 0.009384
98 0.032693 0.007502
99 0.033423 0.011926
100 0.034217 0.011146
101 0.034922 0.01258
102 0.035745 0.009373
103 0.03644 0.007178
104 0.037301 0.010116
105 0.037993 0.009424
106 0.038795 0.008377
107 0.039527 0.009351
108 0.040304 0.015105
109 0.041124 0.015646
110 0.042559 0.0097
111 0.042885 0.013329
112 0.043754 0.012764
113 0.04459 0.013941
114 0.04509 0.016499
115 0.045887 0.009792
116 0.046731 0.011034
117 0.047675 0.015803
118 0.04843 0.016045
119 0.049377 0.012985
120 0.050545 0.011212
121 0.051206 0.012659
122 0.052107 0.021122
123 0.054051 0.010526
124 0.053693 0.017868
125 0.055727 0.025203
126 0.055703 0.018869
127 0.056233 0.015262
128 0.057904 0.024586
129 0.059768 0.026665
130 0.062048 0.027364
131 0.061713 0.02571
132 0.063486 0.024112
133 0.06508 0.035679
134 0.067758 0.034557
135 0.066639 0.036615
136 0.067826 0.032392
137 0.069207 0.027262
138 0.070403 0.029474
139 0.083576 0.035483
140 0.073295 0.03821
141 0.074129 0.041613
142 0.075701 0.026064
143 0.076017 0.027848
144 0.077165 0.038381
145 0.078473 0.037727
146 0.079769 0.02747
147 0.081789 0.029178
148 0.082514 0.044095
149 0.084262 0.04152
150 0.084494 0.048691
151 0.087301 0.030931
152 0.089893 0.050933
153 0.08831 0.043635
154 0.092041 0.046244
155 0.091111 0.044628
156 0.095163 0.033628
157 0.09348 0.04106
158 0.094809 0.05254
159 0.096121 0.045588
160 0.097218 0.050385
161 0.099251 0.039954
162 0.101985 0.036638
163 0.101621 0.059051
164 0.105204 0.044504
165 0.103831 0.052021
166 0.104803 0.035047
167 0.105944 0.041449
168 0.107415 0.057134
169 0.108603 0.043541
170 0.109973 0.054682
171 0.111394 0.060404
172 0.113004 0.067948
173 0.114057 0.048919
174 0.115606 0.069425
175 0.117251 0.053608
176 0.1184 0.053495
177 0.133805 0.054626
178 0.125569 0.047359
179 0.126366 0.055358
180 0.124351 0.055855
181 0.130406 0.06329
182 0.132798 0.115006
183 0.135431 0.116415
184 0.133664 0.116088
185 0.135698 0.102323
186 0.137895 0.107625
187 0.140058 0.112017
188 0.141888 0.106729
189 0.144176 0.101307
190 0.14631 0.123944
191 0.148273 0.09205
192 0.15031 0.097298
193 0.152454 0.132729
194 0.154495 0.107287
195 0.156776 0.105926
196 0.16012 0.131235
197 0.160444 0.095058
198 0.162537 0.13931
199 0.164595 0.137902
200 0.189726 0.145688
201 0.175155 0.104029
202 0.193743 0.143442
203 0.179588 0.116367
204 0.186871 0.109204
205 0.18019 0.130186
206 0.185685 0.142967
207 0.199842 0.159104
208 0.185461 0.118654
209 0.189947 0.126457
210 0.191017 0.124403
211 0.196601 0.165624
212 0.202233 0.121905
213 0.200022 0.145231
214 0.207856 0.166709
215 0.215801 0.123764
216 0.210024 0.1763
217 0.209954 0.189807
218 0.22309 0.124345
219 0.212996 0.184675
220 0.213306 0.173535
221 0.215505 0.179416
222 0.233232 0.15071
223 0.240985 0.146245
224 0.237853 0.141693
225 0.226791 0.147768
226 0.226807 0.197359
227 0.292562 0.207888
228 0.266779 0.209827
229 0.276804 0.182182
230 0.239054 0.155499
231 0.237188 0.189702
232 0.241672 0.174314
233 0.242659 0.15025
234 0.246152 0.199354
235 0.247301 0.174923
236 0.250021 0.189955
237 0.256027 0.206768
238 0.31455 0.187467
239 0.27114 0.185586
240 0.263976 0.15199
241 0.299099 0.207655
242 0.284378 0.224675
243 0.271312 0.189689
244 0.301779 0.240347
245 0.325768 0.166576
246 0.285938 0.204547
247 0.312467 0.159371
248 0.289666 0.167996
249 0.29462 0.204366
250 0.300917 0.24861
251 0.331701 0.244916
252 0.306219 0.218033
253 0.33457 0.186012
254 0.312027 0.18104
255 0.301807 0.180631
256 0.319104 0.254279
257 0.313581 0.312329
258 0.333461 0.385848
259 0.323376 0.378836
260 0.409238 0.478828
261 0.338168 0.462577
262 0.36693 0.414531
263 0.341216 0.35385
264 0.363132 0.374828
265 0.348313 0.420691
266 0.38319 0.450403
267 0.385192 0.435486
268 0.365766 0.378664
269 0.357711 0.365682
270 0.362686 0.493369
271 0.388918 0.428805
272 0.409364 0.449662
273 0.384295 0.511507
274 0.392044 0.421915
275 0.381471 0.368294
276 0.392916 0.483411
277 0.449261 0.483654
278 0.421884 0.495594
279 0.397472 0.514273
280 0.425469 0.429464
281 0.429716 0.436031
282 0.408865 0.447027
283 0.422568 0.417202
284 0.421108 0.508803
285 0.427884 0.538249
286 0.431995 0.506555
287 0.482175 0.409885
288 0.461128 0.505331
289 0.456952 0.435607
290 0.459845 0.514481
291 0.446624 0.547419
292 0.467579 0.523613
293 0.455386 0.534085
294 0.471704 0.476225
295 0.477464 0.474984
296 0.478558 0.553507
297 0.481586 0.57988
298 0.499374 0.470274
299 0.495377 0.61744
300 0.504329 0.447763
301 0.515 0.512801
302 0.522008 0.540901
303 0.517996 0.568389
304 0.504877 0.649257
305 0.518713 0.617044
306 0.546327 0.489493
307 0.542504 0.595109
308 0.551657 0.709835
309 0.598869 0.653926
310 0.589461 0.527887
311 0.537245 0.577172
312 0.576371 0.626906
313 0.560956 0.559179
314 0.588157 0.579606
315 0.607211 0.608962
316 0.59297 0.793249
317 0.644532 0.672936
318 0.676813 0.77161
319 0.589792 0.646481
320 0.659177 0.587837
321 0.615942 0.581805
322 0.623753 0.551833
323 0.643718 0.722772
324 0.60678 0.715808
325 0.60947 0.661953
326 0.62097 0.605201
327 0.620053 0.530809
328 0.626159 0.66746
329 0.627447 0.721996
330 0.634836 0.692085
331 0.640856 0.572999
332 0.646531 0.762251
333 0.650641 0.683981
334 0.656494 0.547726
335 0.663719 0.545221
336 0.665912 0.698538
337 0.674465 0.596351
338 0.680907 0.568963
339 0.68569 0.657702
340 0.69067 0.719462
341 0.692977 0.717304
342 0.704555 0.684102
343 0.706589 0.662957
344 0.711573 0.704666
345 0.719893 0.81702
346 0.726595 0.581526
347 0.734544 0.768264
348 0.734751 0.653698
349 0.742827 0.647709
350 0.752958 0.790818
351 0.769839 0.723571
352 0.76139 0.72896
353 0.863485 0.788801
354 0.812985 0.823352
355 0.79249 0.648795
356 0.795865 0.73907
357 0.820415 0.691971
358 0.821601 0.880798
359 0.842429 0.783814
360 0.814443 0.860309
361 0.817477 0.873293
362 0.875795 0.81208
363 0.848332 0.764155
364 0.837311 1.25865
365 0.853588 1.6114
366 0.89161 1.64296
367 0.897168 1.62064
368 0.933846 1.53771
369 0.876523 1.41648
370 0.910438 1.44537
371 0.89373 1.46625
372 0.908085 1.59243
373 0.90878 1.36055
374 0.917664 1.37896
375 0.978907 1.41043
376 0.935372 1.68517
377 0.945235 1.45251
378 0.980279 1.42035
379 0.972339 1.46548
380 1.02258 1.68903
381 0.990131 1.49753
382 0.994819 1.70508
383 1.02518 1.62666
384 1.0346 1.45608
385 1.03053 1.57006
386 1.03647 1.73912
387 1.03968 1.60281
388 1.05772 1.59852
389 1.05813 1.5406
390 1.07034 1.533
391 1.07588 1.84111
392 1.08523 1.626
393 1.10904 1.68949
394 1.09473 1.82686
395 1.15482 1.70916
396 1.11171 1.55456
397 1.13089 1.58247
398 1.12914 1.87687
399 1.15341 1.90642
400 1.15215 1.58689
401 1.16145 1.74062
402 1.17285 1.92167
403 1.17713 1.6278
404 1.18214 2.0043
405 1.18739 1.98963
406 1.20161 1.88016
407 1.20477 1.62546
408 1.22101 1.88042
409 1.21627 1.72185
410 1.50229 2.14919
411 1.30754 1.96866
412 1.36363 2.04357
413 1.3104 1.91667
414 1.35144 2.13909
415 1.41018 2.3559
416 1.4687 1.87918
417 1.54895 2.11029
418 1.74087 2.71479
419 1.49188 2.35882
420 1.42452 2.18686
421 1.54938 2.08775
422 1.50465 2.22387
423 1.3973 2.18533
424 1.60884 2.61512
425 1.47359 2.04736
426 1.58751 2.14886
427 1.59745 2.27983
428 1.4929 2.29072
429 1.55339 2.45408
430 1.59361 2.01977
431 1.43219 2.09962
432 1.44832 2.30396
433 1.68338 2.27652
434 1.56345 2.10854
435 1.48568 1.8844
436 1.55251 2.46774
437 1.57191 2.18986
438 1.52365 2.15745
439 1.52009 2.3828
440 1.54449 1.97034
441 1.66925 1.99186
442 1.54585 2.32776
443 1.56338 2.16898
444 1.57404 2.21363
445 1.59227 2.4545
446 1.73254 2.15917
447 1.61073 2.22688
448 1.62437 2.23268
449 1.63241 2.33802
450 1.65954 2.50772
451 1.65798 2.13484
452 1.70032 2.51875
453 1.89917 2.25418
454 1.9553 2.58999
455 1.91675 2.50854
456 1.7929 2.25143
457 1.73084 2.45577
458 2.07043 2.15897
459 1.90425 2.37759
460 1.92292 2.30366
461 1.75919 2.52914
462 1.76697 2.08802
463 1.92952 3.05915
464 1.89904 2.10052
465 1.81479 2.10225
466 1.82729 2.2409
467 1.85154 2.62086
468 1.85196 2.38328
469 1.87115 2.29503
470 1.92832 2.38933
471 1.92105 2.43967
472 1.90185 2.40931
473 1.92519 2.24572
474 2.01537 2.18709
475 1.9494 2.37566
476 2.04737 2.59371
477 2.05697 2.52864
478 2.06593 2.84145
479 2.03148 2.43753
480 2.01386 2.29049
481 2.1631 2.4321
482 2.12374 2.25114
483 2.04522 2.94725
484 2.15472 2.80599
485 2.17397 2.44153
486 2.07189 2.97852
487 2.08087 2.51896
488 2.09793 2.98049
489 2.1604 2.53116
490 2.16708 3.08176
491 2.16332 2.42528
492 2.18149 2.54716
493 2.19711 2.41731
494 2.22602 3.2749
495 2.2159 2.86473
496 2.21354 2.6132
497 2.24636 2.4789
498 2.38231 3.17108
499 2.27143 2.99749
500 2.32816 2.99897
501 2.30761 3.05156
502 2.50969 2.73645
503 2.3264 2.9928
504 2.34417 3.01975
505 2.45299 2.82105
506 2.42499 3.58683
507 2.49915 3.23447
508 2.49422 2.8067
509 2.67234 2.87525
510 2.51227 3.17681
511 2.68859 3.1633
512 2.49766 3.25866
513 2.65421 3.31554
514 2.4944 3.51824
515 2.77908 5.00361
516 2.52586 5.48409
517 2.70583 5.57377
518 2.56942 5.90573
519 2.95906 6.20734
520 3.05318 5.55254
521 2.61407 5.81519
522 2.63217 6.01149
523 2.77916 5.45368
524 2.71274 5.41184
525 2.75388 5.58492
526 2.82329 6.03108
527 2.7625 5.61442
528 2.92558 6.77729
529 4.3441 7.09624
530 3.16352 6.90484
531 3.776 7.39025
532 3.55379 6.84668
533 2.93617 6.61072
534 4.05811 7.02821
535 2.99315 6.32347
536 2.92149 6.30827
537 4.29291 7.32859
538 3.12581 8.12099
539 4.15679 7.44437
540 3.62279 6.54576
541 3.19956 6.03737
542 3.31072 6.53786
543 3.15095 7.27028
544 3.70567 7.21219
545 4.54998 7.72818
546 3.37351 6.93786
547 3.4686 8.81973
