tiempo merge insert
0 4e-06 5e-06
1 3e-06 1.8e-05
2 3e-06 4e-06
3 3e-06 4e-06
4 3e-06 3e-06
5 3e-06 7e-06
6 4e-06 1e-05
7 4e-06 1.1e-05
8 4e-06 2.3e-05
9 4e-06 3.5e-05
10 4e-06 4e-05
11 5e-06 4e-05
12 6e-06 6.3e-05
13 6e-06 7.6e-05
14 7e-06 0.000103
15 6e-06 0.000145
16 7e-06 0.000189
17 8e-06 0.000261
18 8e-06 0.000331
19 8e-06 0.000367
20 9e-06 0.000396
21 8e-06 0.000428
22 1e-05 0.000476
23 9e-06 0.000351
24 3e-06 0.000235
25 3e-06 0.000302
26 3e-06 0.000307
27 4e-06 0.000405
28 3e-06 0.000558
29 5e-06 0.000634
30 6e-06 0.000619
31 6e-06 0.000658
32 6e-06 0.000851
33 6e-06 0.001137
34 6e-06 0.001175
35 6e-06 0.001257
36 6e-06 0.001383
37 6e-06 0.001384
38 6e-06 0.001388
39 6e-06 0.001661
40 6e-06 0.001968
41 7e-06 0.002368
42 6e-06 0.002341
43 7e-06 0.002916
44 5e-06 0.002978
45 6e-06 0.00315
46 6e-06 0.003538
47 6e-06 0.003978
48 7e-06 0.004191
49 6e-06 0.004644
50 6e-06 0.004861
51 6e-06 0.005322
52 7e-06 0.005645
53 7e-06 0.005718
54 6e-06 0.006557
55 7e-06 0.007079
56 7e-06 0.007692
57 7e-06 0.007964
58 8e-06 0.00807
59 7e-06 0.009101
60 8e-06 0.010269
61 7e-06 0.010845
62 7e-06 0.010972
63 8e-06 0.011251
64 7e-06 0.01159
65 8e-06 0.012138
66 9e-06 0.012252
67 9e-06 0.014006
68 8e-06 0.014819
69 9e-06 0.015794
70 8e-06 0.016756
71 9e-06 0.018635
72 1e-05 0.018875
73 1e-05 0.019784
74 1e-05 0.02052
75 1e-05 0.020986
76 1.3e-05 0.022422
77 1.3e-05 0.022885
78 1.3e-05 0.025207
79 1.3e-05 0.028203
80 1.3e-05 0.029925
81 1.4e-05 0.03012
82 1.5e-05 0.033313
83 1.4e-05 0.035627
84 1.4e-05 0.036939
85 1.5e-05 0.039674
86 1.5e-05 0.041833
87 1.5e-05 0.044212
88 1.5e-05 0.047916
89 1.6e-05 0.048967
90 1.6e-05 0.051856
91 1.6e-05 0.0551
92 1.6e-05 0.059888
93 1.6e-05 0.060304
94 1.7e-05 0.062986
95 1.6e-05 0.066684
96 1.3e-05 0.068644
97 1.2e-05 0.071064
98 1.3e-05 0.072193
99 1.3e-05 0.077644
100 1.3e-05 0.082168
101 1.3e-05 0.087788
102 1.3e-05 0.090278
103 1.4e-05 0.090543
104 1.4e-05 0.093257
105 1.4e-05 0.095245
106 1.4e-05 0.096173
107 1.4e-05 0.097932
108 1.5e-05 0.105322
109 1.4e-05 0.113627
110 1.6e-05 0.114597
111 1.4e-05 0.119703
112 1.5e-05 0.123875
113 1.5e-05 0.136466
114 2e-05 0.139033
115 2e-05 0.1388
116 2e-05 0.142719
117 2e-05 0.148487
118 2.1e-05 0.15454
119 1.6e-05 0.162579
120 2e-05 0.170996
121 2.1e-05 0.163946
122 1.7e-05 0.172573
