tiempo merge hibrido(sort)
0 9e-06 3e-06
1 3e-05 4e-06
2 3.5e-05 6e-06
3 7.8e-05 5e-06
4 0.000165 5e-06
5 0.000167 6e-06
6 0.000221 1e-05
7 0.000266 7e-06
8 0.000505 1.7e-05
9 0.000221 7e-06
10 0.000264 8e-06
11 0.000335 9e-06
12 0.000396 1.1e-05
13 0.000463 1.3e-05
14 0.000531 1.5e-05
15 0.000599 1.7e-05
16 0.000732 4.3e-05
17 0.000872 6.4e-05
18 0.000918 5.6e-05
19 0.001018 5.8e-05
20 0.001118 6.5e-05
21 0.001277 7.4e-05
22 0.001352 8.1e-05
23 0.001685 0.000219
24 0.001624 0.000183
25 0.001801 0.000225
26 0.001897 0.000221
27 0.002087 0.000259
28 0.002194 0.00028
29 0.002364 0.000286
30 0.002542 0.000308
31 0.002687 0.000329
32 0.002911 0.000718
33 0.003141 0.000771
34 0.003365 0.000792
35 0.003618 0.00083
36 0.003826 0.000911
37 0.004188 0.000946
38 0.004274 0.001028
39 0.004474 0.001092
40 0.004677 0.001149
41 0.004968 0.001293
42 0.005139 0.001256
43 0.005354 0.001337
44 0.005638 0.00219
45 0.007934 0.002508
46 0.006481 0.004185
47 0.007235 0.003186
48 0.007041 0.003257
49 0.007327 0.003479
50 0.007658 0.003543
51 0.007986 0.003721
52 0.008298 0.003885
53 0.008627 0.003996
54 0.009056 0.004554
55 0.009365 0.004403
56 0.009664 0.004553
57 0.009999 0.004803
58 0.010336 0.004876
59 0.010661 0.005337
60 0.011006 0.005551
61 0.011469 0.00544
62 0.011729 0.005837
63 0.012092 0.005823
64 0.012673 0.01205
65 0.013248 0.012298
66 0.013863 0.012751
67 0.014268 0.013823
68 0.014783 0.013694
69 0.015509 0.014279
70 0.015885 0.014707
71 0.01624 0.01564
72 0.019839 0.018315
73 0.017237 0.016167
74 0.017727 0.016605
75 0.018449 0.017128
76 0.018755 0.017652
77 0.019248 0.018228
78 0.019717 0.019259
79 0.020235 0.020387
80 0.020744 0.019813
81 0.021241 0.020137
82 0.021774 0.021879
83 0.022288 0.021749
84 0.022792 0.021897
85 0.023339 0.023652
86 0.023967 0.023698
87 0.024972 0.024351
88 0.024995 0.025884
89 0.025599 0.024893
90 0.026087 0.026051
91 0.02719 0.05269
92 0.028019 0.055255
93 0.028841 0.054136
94 0.029616 0.056115
95 0.030448 0.061972
96 0.031269 0.058971
97 0.03203 0.074212
98 0.034814 0.061498
99 0.033478 0.064897
100 0.034246 0.065804
101 0.035351 0.068427
102 0.03606 0.068222
103 0.037399 0.077327
104 0.045461 0.071872
105 0.038517 0.071997
106 0.038829 0.073658
107 0.039621 0.074666
108 0.040674 0.079059
109 0.041244 0.080518
110 0.042367 0.079508
111 0.042829 0.08487
112 0.044339 0.084368
113 0.045172 0.085389
114 0.045051 0.088296
115 0.045805 0.087025
116 0.04973 0.091708
117 0.047557 0.092903
118 0.048319 0.100972
119 0.050333 0.095247
120 0.052578 0.098759
121 0.050756 0.103882
